,Earnings; Males; Full Time; Adult; Ordinary time earnings ;,Earnings; Males; Full Time; Adult; Total earnings ;,Earnings; Males; Total earnings ;,Earnings; Females; Full Time; Adult; Ordinary time earnings ;,Earnings; Females; Full Time; Adult; Total earnings ;,Earnings; Females; Total earnings ;,Earnings; Persons; Full Time; Adult; Ordinary time earnings ;,Earnings; Persons; Full Time; Adult; Total earnings ;,Earnings; Persons; Total earnings ;
Unit,$,$,$,$,$,$,$,$,$
Nov-1994,669.20,727.70,644.80,561.10,575.40,425.60,630.10,672.60,542.40
May-1995,689.20,744.60,654.30,576.10,590.50,430.80,648.20,688.80,548.90
Nov-1995,705.20,763.70,664.80,581.60,597.00,430.90,661.20,704.40,555.40
May-1996,717.50,776.20,673.40,594.80,608.80,442.10,673.80,716.50,565.50
Nov-1996,727.80,789.00,681.00,612.30,628.10,447.70,686.10,730.90,570.60
May-1997,740.70,796.10,687.80,620.20,634.70,457.70,696.30,736.70,578.10
Nov-1997,757.10,815.30,709.50,632.60,647.70,466.10,710.60,752.70,592.60
May-1998,772.20,829.50,715.00,645.60,659.30,467.70,725.70,766.90,596.00
Nov-1998,786.50,847.60,723.20,660.00,675.10,475.40,739.50,783.50,603.40
May-1999,795.90,851.60,732.90,667.90,681.60,482.00,748.50,788.60,610.40
Nov-1999,807.50,865.60,741.40,681.70,696.90,481.70,760.80,802.90,613.00
May-2000,829.10,882.00,757.60,694.90,711.10,503.00,779.10,818.40,633.80
Nov-2000,845.20,894.40,768.00,715.70,730.30,510.20,798.10,834.70,643.10
May-2001,867.40,918.20,787.40,732.90,746.10,522.00,818.80,856.10,660.30
Nov-2001,891.00,941.60,808.90,754.80,767.50,528.40,842.60,879.60,673.60
May-2002,910.40,965.40,823.60,770.30,781.80,536.00,860.10,899.50,683.80
Nov-2002,933.90,993.00,845.30,789.70,802.80,545.70,882.10,924.70,699.40
May-2003,968.00,1026.00,869.30,814.20,826.40,562.20,912.80,954.30,721.40
Nov-2003,983.50,1053.10,891.80,829.60,843.80,572.90,929.10,979.20,740.30
May-2004,993.20,1055.30,886.90,842.00,856.40,582.00,939.00,984.00,741.40
Nov-2004,1019.50,1092.10,908.00,865.30,880.00,597.10,965.00,1017.20,761.70
May-2005,1049.70,1125.00,938.40,892.30,905.50,612.20,993.80,1047.10,784.20
Nov-2005,1068.00,1143.50,958.50,908.30,922.90,624.90,1011.80,1066.00,800.60
May-2006,1083.80,1149.80,978.50,919.10,933.30,641.60,1025.80,1073.60,819.70
Nov-2006,1109.20,1178.60,1007.70,928.20,942.60,654.70,1044.10,1093.80,837.40
May-2007,1142.30,1207.70,1033.00,958.10,972.60,670.10,1076.80,1124.10,858.50
Nov-2007,1162.70,1235.20,1051.70,982.80,999.00,683.40,1098.60,1151.00,873.20
May-2008,1188.40,1261.20,1069.10,1000.10,1015.60,693.70,1119.60,1171.50,885.00
Nov-2008,1232.30,1306.10,1101.10,1030.30,1047.10,715.30,1158.00,1210.80,909.50
May-2009,1267.70,1334.30,1110.30,1053.70,1068.10,726.60,1187.80,1234.90,918.60
