period,year,series,value
Nov-1994,1994,Males FT ordinary,669.20
Nov-1994,1994,Males FT total,727.70
Nov-1994,1994,Males total,644.80
Nov-1994,1994,Females FT ordinary,561.10
Nov-1994,1994,Females FT total,575.40
Nov-1994,1994,Females total,425.60
Nov-1994,1994,Persons FT ordinary,630.10
Nov-1994,1994,Persons FT total,672.60
Nov-1994,1994,Persons total,542.40
May-1995,1995,Males FT ordinary,689.20
May-1995,1995,Males FT total,744.60
May-1995,1995,Males total,654.30
May-1995,1995,Females FT ordinary,576.10
May-1995,1995,Females FT total,590.50
May-1995,1995,Females total,430.80
May-1995,1995,Persons FT ordinary,648.20
May-1995,1995,Persons FT total,688.80
May-1995,1995,Persons total,548.90
Nov-1995,1995,Males FT ordinary,705.20
Nov-1995,1995,Males FT total,763.70
Nov-1995,1995,Males total,664.80
Nov-1995,1995,Females FT ordinary,581.60
Nov-1995,1995,Females FT total,597.00
Nov-1995,1995,Females total,430.90
Nov-1995,1995,Persons FT ordinary,661.20
Nov-1995,1995,Persons FT total,704.40
Nov-1995,1995,Persons total,555.40
May-1996,1996,Males FT ordinary,717.50
May-1996,1996,Males FT total,776.20
May-1996,1996,Males total,673.40
May-1996,1996,Females FT ordinary,594.80
May-1996,1996,Females FT total,608.80
May-1996,1996,Females total,442.10
May-1996,1996,Persons FT ordinary,673.80
May-1996,1996,Persons FT total,716.50
May-1996,1996,Persons total,565.50
Nov-1996,1996,Males FT ordinary,727.80
Nov-1996,1996,Males FT total,789.00
Nov-1996,1996,Males total,681.00
Nov-1996,1996,Females FT ordinary,612.30
Nov-1996,1996,Females FT total,628.10
Nov-1996,1996,Females total,447.70
Nov-1996,1996,Persons FT ordinary,686.10
Nov-1996,1996,Persons FT total,730.90
Nov-1996,1996,Persons total,570.60
May-1997,1997,Males FT ordinary,740.70
May-1997,1997,Males FT total,796.10
May-1997,1997,Males total,687.80
May-1997,1997,Females FT ordinary,620.20
May-1997,1997,Females FT total,634.70
May-1997,1997,Females total,457.70
May-1997,1997,Persons FT ordinary,696.30
May-1997,1997,Persons FT total,736.70
May-1997,1997,Persons total,578.10
Nov-1997,1997,Males FT ordinary,757.10
Nov-1997,1997,Males FT total,815.30
Nov-1997,1997,Males total,709.50
Nov-1997,1997,Females FT ordinary,632.60
Nov-1997,1997,Females FT total,647.70
Nov-1997,1997,Females total,466.10
Nov-1997,1997,Persons FT ordinary,710.60
Nov-1997,1997,Persons FT total,752.70
Nov-1997,1997,Persons total,592.60
May-1998,1998,Males FT ordinary,772.20
May-1998,1998,Males FT total,829.50
May-1998,1998,Males total,715.00
May-1998,1998,Females FT ordinary,645.60
May-1998,1998,Females FT total,659.30
May-1998,1998,Females total,467.70
May-1998,1998,Persons FT ordinary,725.70
May-1998,1998,Persons FT total,766.90
May-1998,1998,Persons total,596.00
Nov-1998,1998,Males FT ordinary,786.50
Nov-1998,1998,Males FT total,847.60
Nov-1998,1998,Males total,723.20
Nov-1998,1998,Females FT ordinary,660.00
Nov-1998,1998,Females FT total,675.10
Nov-1998,1998,Females total,475.40
Nov-1998,1998,Persons FT ordinary,739.50
Nov-1998,1998,Persons FT total,783.50
Nov-1998,1998,Persons total,603.40
May-1999,1999,Males FT ordinary,795.90
May-1999,1999,Males FT total,851.60
May-1999,1999,Males total,732.90
May-1999,1999,Females FT ordinary,667.90
May-1999,1999,Females FT total,681.60
May-1999,1999,Females total,482.00
May-1999,1999,Persons FT ordinary,748.50
May-1999,1999,Persons FT total,788.60
May-1999,1999,Persons total,610.40
Nov-1999,1999,Males FT ordinary,807.50
Nov-1999,1999,Males FT total,865.60
Nov-1999,1999,Males total,741.40
Nov-1999,1999,Females FT ordinary,681.70
Nov-1999,1999,Females FT total,696.90
Nov-1999,1999,Females total,481.70
Nov-1999,1999,Persons FT ordinary,760.80
Nov-1999,1999,Persons FT total,802.90
Nov-1999,1999,Persons total,613.00
May-2000,2000,Males FT ordinary,829.10
May-2000,2000,Males FT total,882.00
May-2000,2000,Males total,757.60
May-2000,2000,Females FT ordinary,694.90
May-2000,2000,Females FT total,711.10
May-2000,2000,Females total,503.00
May-2000,2000,Persons FT ordinary,779.10
May-2000,2000,Persons FT total,818.40
May-2000,2000,Persons total,633.80
Nov-2000,2000,Males FT ordinary,845.20
Nov-2000,2000,Males FT total,894.40
Nov-2000,2000,Males total,768.00
Nov-2000,2000,Females FT ordinary,715.70
Nov-2000,2000,Females FT total,730.30
Nov-2000,2000,Females total,510.20
Nov-2000,2000,Persons FT ordinary,798.10
Nov-2000,2000,Persons FT total,834.70
Nov-2000,2000,Persons total,643.10
May-2001,2001,Males FT ordinary,867.40
May-2001,2001,Males FT total,918.20
May-2001,2001,Males total,787.40
May-2001,2001,Females FT ordinary,732.90
May-2001,2001,Females FT total,746.10
May-2001,2001,Females total,522.00
May-2001,2001,Persons FT ordinary,818.80
May-2001,2001,Persons FT total,856.10
May-2001,2001,Persons total,660.30
Nov-2001,2001,Males FT ordinary,891.00
Nov-2001,2001,Males FT total,941.60
Nov-2001,2001,Males total,808.90
Nov-2001,2001,Females FT ordinary,754.80
Nov-2001,2001,Females FT total,767.50
Nov-2001,2001,Females total,528.40
Nov-2001,2001,Persons FT ordinary,842.60
Nov-2001,2001,Persons FT total,879.60
Nov-2001,2001,Persons total,673.60
May-2002,2002,Males FT ordinary,910.40
May-2002,2002,Males FT total,965.40
May-2002,2002,Males total,823.60
May-2002,2002,Females FT ordinary,770.30
May-2002,2002,Females FT total,781.80
May-2002,2002,Females total,536.00
May-2002,2002,Persons FT ordinary,860.10
May-2002,2002,Persons FT total,899.50
May-2002,2002,Persons total,683.80
Nov-2002,2002,Males FT ordinary,933.90
Nov-2002,2002,Males FT total,993.00
Nov-2002,2002,Males total,845.30
Nov-2002,2002,Females FT ordinary,789.70
Nov-2002,2002,Females FT total,802.80
Nov-2002,2002,Females total,545.70
Nov-2002,2002,Persons FT ordinary,882.10
Nov-2002,2002,Persons FT total,924.70
Nov-2002,2002,Persons total,699.40
May-2003,2003,Males FT ordinary,968.00
May-2003,2003,Males FT total,1026.00
May-2003,2003,Males total,869.30
May-2003,2003,Females FT ordinary,814.20
May-2003,2003,Females FT total,826.40
May-2003,2003,Females total,562.20
May-2003,2003,Persons FT ordinary,912.80
May-2003,2003,Persons FT total,954.30
May-2003,2003,Persons total,721.40
Nov-2003,2003,Males FT ordinary,983.50
Nov-2003,2003,Males FT total,1053.10
Nov-2003,2003,Males total,891.80
Nov-2003,2003,Females FT ordinary,829.60
