quarter,year,city,cpi_index
Sep-1948,1948,Australia,3.7
Sep-1948,1948,Greater Sydney,3.7
Sep-1948,1948,Greater Melbourne,3.8
Sep-1948,1948,Greater Brisbane,3.7
Sep-1948,1948,Greater Adelaide,3.8
Sep-1948,1948,Greater Perth,3.7
Sep-1948,1948,Greater Hobart,3.8
Sep-1948,1948,Australian Capital Territory,3.9
Dec-1948,1948,Australia,3.8
Dec-1948,1948,Greater Sydney,3.7
Dec-1948,1948,Greater Melbourne,3.8
Dec-1948,1948,Greater Brisbane,3.7
Dec-1948,1948,Greater Adelaide,3.9
Dec-1948,1948,Greater Perth,3.8
Dec-1948,1948,Greater Hobart,3.9
Dec-1948,1948,Australian Capital Territory,4.1
Mar-1949,1949,Australia,3.9
Mar-1949,1949,Greater Sydney,3.9
Mar-1949,1949,Greater Melbourne,3.9
Mar-1949,1949,Greater Brisbane,3.8
Mar-1949,1949,Greater Adelaide,4.0
Mar-1949,1949,Greater Perth,3.9
Mar-1949,1949,Greater Hobart,4.0
Mar-1949,1949,Australian Capital Territory,4.1
Jun-1949,1949,Australia,4.0
Jun-1949,1949,Greater Sydney,3.9
Jun-1949,1949,Greater Melbourne,4.0
Jun-1949,1949,Greater Brisbane,3.9
Jun-1949,1949,Greater Adelaide,4.0
Jun-1949,1949,Greater Perth,4.0
Jun-1949,1949,Greater Hobart,4.1
Jun-1949,1949,Australian Capital Territory,4.2
Sep-1949,1949,Australia,4.1
Sep-1949,1949,Greater Sydney,4.0
Sep-1949,1949,Greater Melbourne,4.1
Sep-1949,1949,Greater Brisbane,4.0
Sep-1949,1949,Greater Adelaide,4.1
Sep-1949,1949,Greater Perth,4.1
Sep-1949,1949,Greater Hobart,4.1
Sep-1949,1949,Australian Capital Territory,4.3
Dec-1949,1949,Australia,4.1
Dec-1949,1949,Greater Sydney,4.1
Dec-1949,1949,Greater Melbourne,4.2
Dec-1949,1949,Greater Brisbane,4.1
Dec-1949,1949,Greater Adelaide,4.1
Dec-1949,1949,Greater Perth,4.2
Dec-1949,1949,Greater Hobart,4.2
Dec-1949,1949,Australian Capital Territory,4.3
Mar-1950,1950,Australia,4.2
Mar-1950,1950,Greater Sydney,4.1
Mar-1950,1950,Greater Melbourne,4.3
Mar-1950,1950,Greater Brisbane,4.1
Mar-1950,1950,Greater Adelaide,4.2
Mar-1950,1950,Greater Perth,4.2
Mar-1950,1950,Greater Hobart,4.2
Mar-1950,1950,Australian Capital Territory,4.4
Jun-1950,1950,Australia,4.3
Jun-1950,1950,Greater Sydney,4.3
Jun-1950,1950,Greater Melbourne,4.4
Jun-1950,1950,Greater Brisbane,4.2
Jun-1950,1950,Greater Adelaide,4.4
Jun-1950,1950,Greater Perth,4.4
Jun-1950,1950,Greater Hobart,4.3
Jun-1950,1950,Australian Capital Territory,4.6
Sep-1950,1950,Australia,4.4
Sep-1950,1950,Greater Sydney,4.4
Sep-1950,1950,Greater Melbourne,4.5
Sep-1950,1950,Greater Brisbane,4.3
Sep-1950,1950,Greater Adelaide,4.4
Sep-1950,1950,Greater Perth,4.5
Sep-1950,1950,Greater Hobart,4.4
Sep-1950,1950,Australian Capital Territory,4.7
Dec-1950,1950,Australia,4.6
Dec-1950,1950,Greater Sydney,4.6
Dec-1950,1950,Greater Melbourne,4.6
Dec-1950,1950,Greater Brisbane,4.4
Dec-1950,1950,Greater Adelaide,4.6
Dec-1950,1950,Greater Perth,4.6
Dec-1950,1950,Greater Hobart,4.5
Dec-1950,1950,Australian Capital Territory,4.8
Mar-1951,1951,Australia,4.8
Mar-1951,1951,Greater Sydney,4.7
Mar-1951,1951,Greater Melbourne,4.9
Mar-1951,1951,Greater Brisbane,4.7
Mar-1951,1951,Greater Adelaide,4.8
Mar-1951,1951,Greater Perth,4.8
Mar-1951,1951,Greater Hobart,4.8
Mar-1951,1951,Australian Capital Territory,5.1
Jun-1951,1951,Australia,5.1
Jun-1951,1951,Greater Sydney,5.1
Jun-1951,1951,Greater Melbourne,5.1
Jun-1951,1951,Greater Brisbane,4.9
Jun-1951,1951,Greater Adelaide,5.1
Jun-1951,1951,Greater Perth,5.1
Jun-1951,1951,Greater Hobart,5.2
Jun-1951,1951,Australian Capital Territory,5.4
Sep-1951,1951,Australia,5.3
Sep-1951,1951,Greater Sydney,5.4
Sep-1951,1951,Greater Melbourne,5.4
Sep-1951,1951,Greater Brisbane,5.1
Sep-1951,1951,Greater Adelaide,5.4
Sep-1951,1951,Greater Perth,5.4
Sep-1951,1951,Greater Hobart,5.4
Sep-1951,1951,Australian Capital Territory,5.7
Dec-1951,1951,Australia,5.7
Dec-1951,1951,Greater Sydney,5.7
Dec-1951,1951,Greater Melbourne,5.8
Dec-1951,1951,Greater Brisbane,5.6
Dec-1951,1951,Greater Adelaide,5.7
Dec-1951,1951,Greater Perth,5.7
Dec-1951,1951,Greater Hobart,5.8
Dec-1951,1951,Australian Capital Territory,6.0
Mar-1952,1952,Australia,5.9
Mar-1952,1952,Greater Sydney,5.9
Mar-1952,1952,Greater Melbourne,5.9
Mar-1952,1952,Greater Brisbane,5.8
Mar-1952,1952,Greater Adelaide,5.9
Mar-1952,1952,Greater Perth,6.0
Mar-1952,1952,Greater Hobart,6.0
Mar-1952,1952,Australian Capital Territory,6.2
Jun-1952,1952,Australia,6.1
Jun-1952,1952,Greater Sydney,6.1
Jun-1952,1952,Greater Melbourne,6.2
Jun-1952,1952,Greater Brisbane,5.9
Jun-1952,1952,Greater Adelaide,6.2
Jun-1952,1952,Greater Perth,6.2
Jun-1952,1952,Greater Hobart,6.2
Jun-1952,1952,Australian Capital Territory,6.5
Sep-1952,1952,Australia,6.2
Sep-1952,1952,Greater Sydney,6.2
Sep-1952,1952,Greater Melbourne,6.3
Sep-1952,1952,Greater Brisbane,6.1
Sep-1952,1952,Greater Adelaide,6.3
Sep-1952,1952,Greater Perth,6.4
Sep-1952,1952,Greater Hobart,6.3
Sep-1952,1952,Australian Capital Territory,6.7
Dec-1952,1952,Australia,6.3
Dec-1952,1952,Greater Sydney,6.3
Dec-1952,1952,Greater Melbourne,6.3
Dec-1952,1952,Greater Brisbane,6.1
Dec-1952,1952,Greater Adelaide,6.3
Dec-1952,1952,Greater Perth,6.4
Dec-1952,1952,Greater Hobart,6.4
Dec-1952,1952,Australian Capital Territory,6.7
Mar-1953,1953,Australia,6.3
Mar-1953,1953,Greater Sydney,6.3
Mar-1953,1953,Greater Melbourne,6.4
Mar-1953,1953,Greater Brisbane,6.1
Mar-1953,1953,Greater Adelaide,6.4
Mar-1953,1953,Greater Perth,6.5
Mar-1953,1953,Greater Hobart,6.5
Mar-1953,1953,Australian Capital Territory,6.8
Jun-1953,1953,Australia,6.4
Jun-1953,1953,Greater Sydney,6.4
Jun-1953,1953,Greater Melbourne,6.5
Jun-1953,1953,Greater Brisbane,6.2
Jun-1953,1953,Greater Adelaide,6.4
Jun-1953,1953,Greater Perth,6.5
Jun-1953,1953,Greater Hobart,6.6
Jun-1953,1953,Australian Capital Territory,6.8
Sep-1953,1953,Australia,6.5
Sep-1953,1953,Greater Sydney,6.4
Sep-1953,1953,Greater Melbourne,6.5
Sep-1953,1953,Greater Brisbane,6.2
Sep-1953,1953,Greater Adelaide,6.5
Sep-1953,1953,Greater Perth,6.6
Sep-1953,1953,Greater Hobart,6.8
Sep-1953,1953,Australian Capital Territory,6.9
Dec-1953,1953,Australia,6.4
Dec-1953,1953,Greater Sydney,6.4
Dec-1953,1953,Greater Melbourne,6.5
Dec-1953,1953,Greater Brisbane,6.2
Dec-1953,1953,Greater Adelaide,6.5
Dec-1953,1953,Greater Perth,6.6
Dec-1953,1953,Greater Hobart,6.8
Dec-1953,1953,Australian Capital Territory,7.0
Mar-1954,1954,Australia,6.5
Mar-1954,1954,Greater Sydney,6.4
Mar-1954,1954,Greater Melbourne,6.5
Mar-1954,1954,Greater Brisbane,6.2
Mar-1954,1954,Greater Adelaide,6.5
Mar-1954,1954,Greater Perth,6.6
