SA3,SA3 NAME,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Australia ",,"12,749,363","13,067,485","13,221,599","13,309,468","13,883,219"," 	38 "," 	38 "," 	38 "," 	39 "," 	38 ","788,796,806,394","830,006,691,487","867,222,781,507","911,065,363,931","985,008,712,770","50,669","52,256","53,878","56,485","58,260","61,870","63,517","65,591","68,452","70,950"," 	79.6 "," 	79.3 "," 	79.4 "," 	79.4 "," 	80.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,,"4,074,444","4,164,609","4,193,441","4,195,471","4,328,284"," 	38 "," 	38 "," 	38 "," 	39 "," 	39 ","262,836,992,975","276,433,789,698","288,047,045,135","301,434,378,176","321,298,672,338","51,411","53,104","54,989","57,891","58,972","64,509","66,377","68,690","71,848","74,232"," 	79.8 "," 	79.7 "," 	79.7 "," 	80.0 "," 	80.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102,Queanbeyan,"35,382","36,105","36,888","37,911","39,119"," 	40 "," 	40 "," 	40 "," 	40 "," 	39 ","2,509,485,816","2,655,637,096","2,813,424,203","2,987,176,041","3,151,492,865","64,406","66,923","69,551","71,982","73,390","70,921","73,545","76,269","78,794","80,562"," 	82.3 "," 	82.2 "," 	82.5 "," 	82.4 "," 	82.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103,Snowy Mountains,"10,294","10,550","10,775","10,782","11,364"," 	41 "," 	41 "," 	41 "," 	41 "," 	40 ","503,590,827","533,458,081","584,710,647","624,274,839","677,334,624","42,003","43,448","45,807","50,250","49,865","48,911","50,565","54,265","57,900","59,604"," 	74.9 "," 	75.8 "," 	76.5 "," 	77.1 "," 	77.7 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,South Coast,"31,001","31,611","32,148","33,286","34,337"," 	45 "," 	45 "," 	45 "," 	44 "," 	44 ","1,390,120,376","1,465,044,505","1,554,523,054","1,682,465,682","1,766,864,233","38,843","40,441","41,816","44,329","44,503","44,840","46,348","48,355","50,546","51,457"," 	67.0 "," 	67.0 "," 	67.2 "," 	68.3 "," 	68.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105,Goulburn - Mulwaree,"17,720","18,157","18,213","18,703","19,197"," 	41 "," 	41 "," 	40 "," 	40 "," 	40 ","966,529,946","1,017,684,452","1,058,629,698","1,132,170,136","1,200,684,945","48,478","49,970","51,926","54,602","55,874","54,557","56,055","58,125","60,534","62,545"," 	78.7 "," 	79.0 "," 	79.0 "," 	79.6 "," 	79.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106,Young - Yass,"17,940","18,386","18,569","18,854","19,334"," 	42 "," 	42 "," 	41 "," 	42 "," 	41 ","1,019,695,781","1,083,398,873","1,150,692,257","1,212,723,604","1,279,316,036","48,233","50,195","52,610","55,547","55,988","56,855","58,935","61,968","64,322","66,169"," 	73.6 "," 	74.4 "," 	74.5 "," 	74.9 "," 	75.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10201,Gosford,"86,867","87,117","88,062","90,000","91,760"," 	42 "," 	42 "," 	42 "," 	41 "," 	41 ","5,190,701,649","5,403,882,126","5,629,431,579","5,997,060,558","6,325,916,789","49,639","51,368","52,936","55,110","55,923","59,755","62,031","63,926","66,634","68,940"," 	77.3 "," 	77.1 "," 	77.2 "," 	78.1 "," 	78.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10202,Wyong,"79,115","81,178","81,611","82,915","85,179"," 	40 "," 	40 "," 	40 "," 	40 "," 	39 ","4,281,621,345","4,537,192,678","4,703,328,003","4,929,542,438","5,136,322,333","47,758","49,634","51,175","52,838","52,937","54,122","55,889","57,631","59,453","60,300"," 	82.5 "," 	82.6 "," 	82.7 "," 	83.3 "," 	83.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10301,Bathurst,"23,341","23,801","24,172","24,888","25,979"," 	40 "," 	40 "," 	40 "," 	39 "," 	39 ","1,313,069,481","1,374,637,545","1,453,421,651","1,555,584,520","1,651,765,001","50,233","52,038","54,151","56,706","57,596","56,258","57,746","60,128","62,503","63,581"," 	80.8 "," 	80.9 "," 	81.2 "," 	81.7 "," 	82.4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10302,Lachlan Valley,"24,086","24,179","24,222","24,928","25,819"," 	40 "," 	40 "," 	40 "," 	40 "," 	40 ","1,162,989,816","1,206,797,845","1,279,471,729","1,373,423,896","1,468,966,491","42,466","44,000","46,824","48,781","50,246","48,287","49,909","52,823","55,096","56,895"," 	72.3 "," 	72.8 "," 	73.1 "," 	74.0 "," 	75.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
