region_code,region_name,region_category,year,end_year,individuals,median_age,total_income,median_taxable_income,average_taxable_income,salary_wage_share
Australia,Australia,Australia,2017-18,2018,12749363,38,788796806394,50669,61870,79.6
Australia,Australia,Australia,2018-19,2019,13067485,38,830006691487,52256,63517,79.3
Australia,Australia,Australia,2019-20,2020,13221599,38,867222781507,53878,65591,79.4
Australia,Australia,Australia,2020-21,2021,13309468,39,911065363931,56485,68452,79.4
Australia,Australia,Australia,2021-22,2022,13883219,38,985008712770,58260,70950,80.1
New South Wales,New South Wales,State,2017-18,2018,4074444,38,262836992975,51411,64509,79.8
New South Wales,New South Wales,State,2018-19,2019,4164609,38,276433789698,53104,66377,79.7
New South Wales,New South Wales,State,2019-20,2020,4193441,38,288047045135,54989,68690,79.7
New South Wales,New South Wales,State,2020-21,2021,4195471,39,301434378176,57891,71848,80.0
New South Wales,New South Wales,State,2021-22,2022,4328284,39,321298672338,58972,74232,80.4
10102,Queanbeyan,SA3,2017-18,2018,35382,40,2509485816,64406,70921,82.3
10102,Queanbeyan,SA3,2018-19,2019,36105,40,2655637096,66923,73545,82.2
10102,Queanbeyan,SA3,2019-20,2020,36888,40,2813424203,69551,76269,82.5
10102,Queanbeyan,SA3,2020-21,2021,37911,40,2987176041,71982,78794,82.4
10102,Queanbeyan,SA3,2021-22,2022,39119,39,3151492865,73390,80562,82.7
10103,Snowy Mountains,SA3,2017-18,2018,10294,41,503590827,42003,48911,74.9
10103,Snowy Mountains,SA3,2018-19,2019,10550,41,533458081,43448,50565,75.8
10103,Snowy Mountains,SA3,2019-20,2020,10775,41,584710647,45807,54265,76.5
10103,Snowy Mountains,SA3,2020-21,2021,10782,41,624274839,50250,57900,77.1
10103,Snowy Mountains,SA3,2021-22,2022,11364,40,677334624,49865,59604,77.7
10104,South Coast,SA3,2017-18,2018,31001,45,1390120376,38843,44840,67.0
10104,South Coast,SA3,2018-19,2019,31611,45,1465044505,40441,46348,67.0
10104,South Coast,SA3,2019-20,2020,32148,45,1554523054,41816,48355,67.2
10104,South Coast,SA3,2020-21,2021,33286,44,1682465682,44329,50546,68.3
10104,South Coast,SA3,2021-22,2022,34337,44,1766864233,44503,51457,68.9
10105,Goulburn - Mulwaree,SA3,2017-18,2018,17720,41,966529946,48478,54557,78.7
10105,Goulburn - Mulwaree,SA3,2018-19,2019,18157,41,1017684452,49970,56055,79.0
10105,Goulburn - Mulwaree,SA3,2019-20,2020,18213,40,1058629698,51926,58125,79.0
10105,Goulburn - Mulwaree,SA3,2020-21,2021,18703,40,1132170136,54602,60534,79.6
10105,Goulburn - Mulwaree,SA3,2021-22,2022,19197,40,1200684945,55874,62545,79.8
10106,Young - Yass,SA3,2017-18,2018,17940,42,1019695781,48233,56855,73.6
10106,Young - Yass,SA3,2018-19,2019,18386,42,1083398873,50195,58935,74.4
10106,Young - Yass,SA3,2019-20,2020,18569,41,1150692257,52610,61968,74.5
10106,Young - Yass,SA3,2020-21,2021,18854,42,1212723604,55547,64322,74.9
10106,Young - Yass,SA3,2021-22,2022,19334,41,1279316036,55988,66169,75.1
10201,Gosford,SA3,2017-18,2018,86867,42,5190701649,49639,59755,77.3
10201,Gosford,SA3,2018-19,2019,87117,42,5403882126,51368,62031,77.1
10201,Gosford,SA3,2019-20,2020,88062,42,5629431579,52936,63926,77.2
10201,Gosford,SA3,2020-21,2021,90000,41,5997060558,55110,66634,78.1
10201,Gosford,SA3,2021-22,2022,91760,41,6325916789,55923,68940,78.2
10202,Wyong,SA3,2017-18,2018,79115,40,4281621345,47758,54122,82.5
10202,Wyong,SA3,2018-19,2019,81178,40,4537192678,49634,55889,82.6
10202,Wyong,SA3,2019-20,2020,81611,40,4703328003,51175,57631,82.7
10202,Wyong,SA3,2020-21,2021,82915,40,4929542438,52838,59453,83.3
10202,Wyong,SA3,2021-22,2022,85179,39,5136322333,52937,60300,83.5
10301,Bathurst,SA3,2017-18,2018,23341,40,1313069481,50233,56258,80.8
10301,Bathurst,SA3,2018-19,2019,23801,40,1374637545,52038,57746,80.9
10301,Bathurst,SA3,2019-20,2020,24172,40,1453421651,54151,60128,81.2
10301,Bathurst,SA3,2020-21,2021,24888,39,1555584520,56706,62503,81.7
10301,Bathurst,SA3,2021-22,2022,25979,39,1651765001,57596,63581,82.4
10302,Lachlan Valley,SA3,2017-18,2018,24086,40,1162989816,42466,48287,72.3
10302,Lachlan Valley,SA3,2018-19,2019,24179,40,1206797845,44000,49909,72.8
10302,Lachlan Valley,SA3,2019-20,2020,24222,40,1279471729,46824,52823,73.1
10302,Lachlan Valley,SA3,2020-21,2021,24928,40,1373423896,48781,55096,74.0
10302,Lachlan Valley,SA3,2021-22,2022,25819,40,1468966491,50246,56895,75.0
10303,Lithgow - Mudgee,SA3,2017-18,2018,20734,42,1248648411,48450,60211,78.5
10303,Lithgow - Mudgee,SA3,2018-19,2019,21504,41,1330736770,49988,61877,79.5
10303,Lithgow - Mudgee,SA3,2019-20,2020,21584,41,1391491574,51977,64469,79.4
10303,Lithgow - Mudgee,SA3,2020-21,2021,22362,41,1449670236,53515,64827,79.9
10303,Lithgow - Mudgee,SA3,2021-22,2022,22888,41,1507539272,53949,65866,80.1
10304,Orange,SA3,2017-18,2018,29771,40,1736807230,50590,58335,80.3
10304,Orange,SA3,2018-19,2019,30299,40,1827525544,52472,60316,80.4
10304,Orange,SA3,2019-20,2020,30630,39,1920975398,54682,62715,80.6
10304,Orange,SA3,2020-21,2021,31609,39,2058041200,57368,65109,81.1
10304,Orange,SA3,2021-22,2022,32564,39,2195751713,59030,67429,81.3
10401,Clarence Valley,SA3,2017-18,2018,21233,43,1025568975,42064,48296,74.0
10401,Clarence Valley,SA3,2018-19,2019,21765,43,1096297268,44026,50358,74.2
10401,Clarence Valley,SA3,2019-20,2020,21681,43,1114891515,45123,51423,73.7
10401,Clarence Valley,SA3,2020-21,2021,22167,43,1150005706,46177,51879,74.4
10401,Clarence Valley,SA3,2021-22,2022,22999,42,1224245465,46724,53230,75.2
10402,Coffs Harbour,SA3,2017-18,2018,42472,41,2050240354,41506,48268,75.7
10402,Coffs Harbour,SA3,2018-19,2019,43747,41,2154074307,42474,49236,75.7
10402,Coffs Harbour,SA3,2019-20,2020,44272,40,2253746503,43690,50907,75.7
10402,Coffs Harbour,SA3,2020-21,2021,44902,40,2399555683,46377,53440,76.0
10402,Coffs Harbour,SA3,2021-22,2022,46214,40,2551516954,47449,55211,76.2
10501,Bourke - Cobar - Coonamble,SA3,2017-18,2018,10656,39,557243622,44604,52274,77.2
10501,Bourke - Cobar - Coonamble,SA3,2018-19,2019,10316,39,551993082,46285,53524,77.8
10501,Bourke - Cobar - Coonamble,SA3,2019-20,2020,10032,39,559536415,48884,55775,76.6
10501,Bourke - Cobar - Coonamble,SA3,2020-21,2021,10389,39,591275447,49861,56914,77.0
10501,Bourke - Cobar - Coonamble,SA3,2021-22,2022,10803,38,626996052,50800,58039,77.6
10502,Broken Hill and Far West,SA3,2017-18,2018,9342,41,513779654,47817,54973,84.2
10502,Broken Hill and Far West,SA3,2018-19,2019,9287,41,535024965,50003,57604,85.3
10502,Broken Hill and Far West,SA3,2019-20,2020,8997,41,550001612,53714,61132,84.9
10502,Broken Hill and Far West,SA3,2020-21,2021,9303,41,571461380,54477,61428,85.9
10502,Broken Hill and Far West,SA3,2021-22,2022,9399,41,596125599,55813,63424,85.5
10503,Dubbo,SA3,2017-18,2018,34082,39,1786365434,47370,52418,79.0
10503,Dubbo,SA3,2018-19,2019,34815,39,1884944314,49286,54148,79.8
10503,Dubbo,SA3,2019-20,2020,35291,38,1981034696,51188,56134,80.1
10503,Dubbo,SA3,2020-21,2021,36659,38,2132410605,53425,58169,80.8
10503,Dubbo,SA3,2021-22,2022,37498,38,2263458245,55000,60362,81.0
