region_code,sa3_name,sa3_name_lower,gcc_name,state_name,end_year,individuals,total_income,median_taxable_income,average_taxable_income,avg_income_thousand,salary_share_pct,mean_price_thousand,mean_price_value,mean_price_thousand_value,price_to_income,price_to_income_rank_city,area_sq_km
80103,Canberra East,canberra east,Australian Capital Territory,Australian Capital Territory,2018,629,34414603.0,48359.0,54800.0,54.8,80.2,676.675,676675.0,676.675,12.34808394160584,1,211.7957
80111,Uriarra - Namadgi,uriarra - namadgi,Australian Capital Territory,Australian Capital Territory,2018,374,24215943.0,57823.0,65448.0,65.448,85.4,676.675,676675.0,676.675,10.339124190196797,2,1619.5351
80101,Belconnen,belconnen,Australian Capital Territory,Australian Capital Territory,2018,57360,3838566499.0,62239.0,66925.0,66.925,80.0,676.675,676675.0,676.675,10.110945087784835,3,112.2636
80107,Tuggeranong,tuggeranong,Australian Capital Territory,Australian Capital Territory,2018,51633,3581279279.0,65155.0,69358.0,69.358,81.6,676.675,676675.0,676.675,9.756264598171803,4,159.6268
80104,Gungahlin,gungahlin,Australian Capital Territory,Australian Capital Territory,2018,47102,3370796601.0,66279.0,71565.0,71.565,87.3,676.675,676675.0,676.675,9.455390204709007,5,91.8779
80105,North Canberra,north canberra,Australian Capital Territory,Australian Capital Territory,2018,32650,2400024377.0,65505.0,73512.0,73.512,81.7,676.675,676675.0,676.675,9.204959734465122,6,44.7228
80108,Weston Creek,weston creek,Australian Capital Territory,Australian Capital Territory,2018,12596,973841648.0,71083.0,77301.0,77.301,72.9,676.675,676675.0,676.675,8.753767739097812,7,18.1487
80110,Molonglo,molonglo,Australian Capital Territory,Australian Capital Territory,2018,3972,314619157.0,75419.0,79229.0,79.229,90.5,676.675,676675.0,676.675,8.540748968180843,8,27.1507
80109,Woden Valley,woden valley,Australian Capital Territory,Australian Capital Territory,2018,20380,1638371800.0,68934.0,80411.0,80.411,73.9,676.675,676675.0,676.675,8.415204387459427,9,28.6004
80106,South Canberra,south canberra,Australian Capital Territory,Australian Capital Territory,2018,17637,1656918243.0,78396.0,93962.0,93.962,72.7,676.675,676675.0,676.675,7.201581490389732,10,44.4113
12702,Fairfield,fairfield,Greater Sydney,New South Wales,2018,83127,4180914094.0,44942.0,50296.0,50.296,83.8,874.925,874925.0,874.925,17.39551853030062,1,123.7703
12501,Auburn,auburn,Greater Sydney,New South Wales,2018,50450,2543167790.0,41500.0,50414.0,50.414,81.8,874.925,874925.0,874.925,17.354802237473717,2,33.06
12503,Merrylands - Guildford,merrylands - guildford,Greater Sydney,New South Wales,2018,70900,3697370768.0,46147.0,52151.0,52.151,81.8,874.925,874925.0,874.925,16.7767636286936,3,56.9969
11902,Canterbury,canterbury,Greater Sydney,New South Wales,2018,66970,3495512729.0,44485.0,52194.0,52.194,80.8,874.925,874925.0,874.925,16.762942100624592,4,29.9648
11603,Mount Druitt,mount druitt,Greater Sydney,New South Wales,2018,58063,3095870127.0,50494.0,53316.0,53.316,91.2,874.925,874925.0,874.925,16.410177057543702,5,81.8889
10202,Wyong,wyong,Greater Sydney,New South Wales,2018,79115,4281621345.0,47758.0,54122.0,54.122,82.5,874.925,874925.0,874.925,16.165792099331142,6,692.6225
11901,Bankstown,bankstown,Greater Sydney,New South Wales,2018,82373,4529774150.0,47599.0,54991.0,54.991,82.1,874.925,874925.0,874.925,15.910330781400592,7,68.6675
12302,Campbelltown (NSW),campbelltown (nsw),Greater Sydney,New South Wales,2018,87152,4878599038.0,51845.0,55976.0,55.976,88.5,874.925,874925.0,874.925,15.630359439759896,8,333.0123
12405,St Marys,st marys,Greater Sydney,New South Wales,2018,30945,1750244968.0,53187.0,56560.0,56.56,89.8,874.925,874925.0,874.925,15.468971004243281,9,33.1146
11601,Blacktown,blacktown,Greater Sydney,New South Wales,2018,75993,4354891032.0,52595.0,57308.0,57.308,87.3,874.925,874925.0,874.925,15.267065680184267,10,55.9289
