state_year,state,year,mean_price_thousand
Australia|2011,Australia,2011,488.85
Australia|2012,Australia,2012,490.29999999999995
Australia|2013,Australia,2013,514.35
Australia|2014,Australia,2014,552.25
Australia|2015,Australia,2015,600.5
Australia|2016,Australia,2016,627.25
Australia|2017,Australia,2017,677.4749999999999
Australia|2018,Australia,2018,675.55
Australia|2019,Australia,2019,662.7249999999999
Australia|2020,Australia,2020,707.4250000000001
Australia|2021,Australia,2021,843.675
Australia|2022,Australia,2022,908.325
Australia|2023,Australia,2023,920.1
Australia|2024,Australia,2024,982.6250000000001
Australia|2025,Australia,2025,1009.6500000000001
Australian Capital Territory|2011,Australian Capital Territory,2011,554.5
Australian Capital Territory|2012,Australian Capital Territory,2012,553.0
Australian Capital Territory|2013,Australian Capital Territory,2013,557.875
Australian Capital Territory|2014,Australian Capital Territory,2014,570.975
Australian Capital Territory|2015,Australian Capital Territory,2015,595.8999999999999
Australian Capital Territory|2016,Australian Capital Territory,2016,615.15
Australian Capital Territory|2017,Australian Capital Territory,2017,652.8249999999999
Australian Capital Territory|2018,Australian Capital Territory,2018,676.675
Australian Capital Territory|2019,Australian Capital Territory,2019,680.0250000000001
Australian Capital Territory|2020,Australian Capital Territory,2020,729.0
Australian Capital Territory|2021,Australian Capital Territory,2021,902.5
Australian Capital Territory|2022,Australian Capital Territory,2022,973.25
Australian Capital Territory|2023,Australian Capital Territory,2023,944.1
Australian Capital Territory|2024,Australian Capital Territory,2024,956.075
Australian Capital Territory|2025,Australian Capital Territory,2025,944.75
New South Wales|2011,New South Wales,2011,538.05
New South Wales|2012,New South Wales,2012,551.45
New South Wales|2013,New South Wales,2013,590.975
New South Wales|2014,New South Wales,2014,660.275
New South Wales|2015,New South Wales,2015,762.25
New South Wales|2016,New South Wales,2016,815.925
New South Wales|2017,New South Wales,2017,899.325
New South Wales|2018,New South Wales,2018,874.925
New South Wales|2019,New South Wales,2019,850.175
New South Wales|2020,New South Wales,2020,912.3249999999999
New South Wales|2021,New South Wales,2021,1101.9
New South Wales|2022,New South Wales,2022,1170.525
New South Wales|2023,New South Wales,2023,1174.25
New South Wales|2024,New South Wales,2024,1235.4
New South Wales|2025,New South Wales,2025,1249.5
Northern Territory|2011,Northern Territory,2011,497.6
Northern Territory|2012,Northern Territory,2012,472.32500000000005
Northern Territory|2013,Northern Territory,2013,500.25
